Income_mean,Income_last,Total Business Value_sum,Total Business Value_min,Total Business Value_max,Total Business Value_mean,Total Business Value_last,City_last,Education_Level_last,Joining Designation_last,Age_max,Grade_min,Grade_max,Grade_mean,Grade_last,Quarterly Rating_max,Gender_last,churn,rating_change,income_change,days_worked,current_month
57387.0,57387.0,1715580.0,-665480.0,2381060.0,571860.0,0.0,23,2.0,1.0,28.0,1.0,1.0,1.0,1.0,2.0,0.0,1,0,0,68,3
67016.0,67016.0,0.0,0.0,0.0,0.0,0.0,7,2.0,2.0,31.0,2.0,2.0,2.0,2.0,1.0,0.0,0,0,0,26,12
65603.0,65603.0,350000.0,0.0,350000.0,70000.0,0.0,13,2.0,2.0,43.0,2.0,2.0,2.0,2.0,1.0,0.0,1,0,0,117,4
46368.0,46368.0,120360.0,0.0,120360.0,40120.0,0.0,9,0.0,1.0,29.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,52,3
78728.0,78728.0,1265000.0,0.0,1265000.0,253000.0,0.0,11,1.0,3.0,31.0,3.0,3.0,3.0,3.0,2.0,1.0,0,1,0,124,12
70656.0,70656.0,0.0,0.0,0.0,0.0,0.0,2,0.0,3.0,34.0,3.0,3.0,3.0,3.0,1.0,0.0,1,0,0,44,11
42172.0,42172.0,0.0,0.0,0.0,0.0,0.0,19,2.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,12
28116.0,28116.0,2607180.0,0.0,1707180.0,434530.0,0.0,23,2.0,1.0,35.0,1.0,1.0,1.0,1.0,4.0,0.0,1,0,0,156,12
119227.0,119227.0,10213040.0,0.0,1719680.0,444045.2173913043,0.0,19,2.0,1.0,31.0,4.0,4.0,4.0,4.0,2.0,0.0,1,0,0,1985,11
19734.0,19734.0,0.0,0.0,0.0,0.0,0.0,26,0.0,3.0,39.0,3.0,3.0,3.0,3.0,1.0,1.0,0,0,0,47,12
52963.0,52963.0,346800.0,0.0,346800.0,173400.0,0.0,23,0.0,2.0,30.0,2.0,2.0,2.0,2.0,1.0,1.0,1,0,0,64,2
51099.0,51099.0,1017640.0,0.0,674990.0,145377.14285714287,0.0,20,2.0,1.0,43.0,1.0,1.0,1.0,1.0,2.0,0.0,1,0,0,483,7
31631.0,31631.0,0.0,0.0,0.0,0.0,0.0,17,1.0,1.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,113,5
40342.0,40342.0,0.0,0.0,0.0,0.0,0.0,19,0.0,3.0,26.0,3.0,3.0,3.0,3.0,1.0,1.0,1,0,0,129,3
